                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79567,                 3.4378,                 1.4593,                0.52239,                0.48393,                0.49327,                0.43553,                0.55047,                  1.348,                 1.3697,              0.0033279,              0.0033279,              0.0033279
                      2,                0.60558,                 1.8271,                 1.2395,                0.52847,                0.48451,                0.53312,                0.41639,                0.94626,                 1.6619,                 2.0043,              0.0063315,              0.0063315,              0.0063315
                      3,                0.59403,                 1.3335,                 1.2151,                0.66909,                0.62012,                0.68554,                0.58917,                 0.6072,                 1.1857,                 1.5019,              0.0090051,              0.0090051,              0.0090051
                      4,                0.54633,                0.98161,                 1.1761,                 0.7243,                0.73789,                0.79443,                 0.7349,                  0.423,                0.84886,                 1.1505,               0.008515,               0.008515,               0.008515
                      5,                0.49274,                0.83607,                 1.1385,                0.82479,                0.85542,                0.87522,                0.82159,                0.37084,                0.45114,                 1.0914,               0.008515,               0.008515,               0.008515
                      6,                0.46159,                0.76734,                 1.1184,                0.84495,                0.91073,                0.88959,                0.84006,                 0.3642,                0.34336,                 1.0647,                0.00802,                0.00802,                0.00802
                      7,                0.43907,                0.71753,                 1.1038,                0.87437,                0.88962,                0.90882,                0.85804,                0.35866,                0.35052,                 1.0842,               0.007525,               0.007525,               0.007525
                      8,                0.42414,                0.68191,                 1.0951,                0.86256,                0.90638,                0.91753,                0.87376,                0.34378,                0.30033,                 1.0482,                0.00703,                0.00703,                0.00703
                      9,                0.41146,                0.65432,                 1.0878,                0.86253,                0.92033,                0.91417,                0.87345,                0.33249,                0.28901,                 1.0232,               0.006535,               0.006535,               0.006535
                     10,                0.39917,                0.62639,                 1.0799,                 0.8851,                0.92619,                0.93206,                0.89139,                0.33065,                0.26946,                 1.0297,                0.00604,                0.00604,                0.00604
                     11,                0.44567,                0.29843,                 1.2799,                0.89894,                0.89825,                0.93511,                0.89769,                0.31902,                0.28995,                 1.0218,               0.005545,               0.005545,               0.005545
                     12,                0.43095,                0.27149,                 1.2607,                0.90567,                0.94519,                0.93917,                0.90597,                0.31299,                0.22892,                  1.011,                0.00505,                0.00505,                0.00505
                     13,                0.42185,                0.25559,                 1.2457,                0.92136,                0.92676,                0.94067,                0.90748,                0.30742,                0.23206,                 1.0059,               0.004555,               0.004555,               0.004555
                     14,                0.41263,                0.24071,                 1.2361,                0.92906,                 0.9309,                0.94872,                0.91803,                0.30361,                0.22881,                 1.0071,                0.00406,                0.00406,                0.00406
                     15,                0.40703,                0.22898,                 1.2299,                0.94198,                 0.9368,                0.95471,                0.92295,                0.30048,                0.20928,                 1.0015,               0.003565,               0.003565,               0.003565
                     16,                0.40061,                 0.2166,                 1.2216,                0.92721,                0.93382,                0.94833,                0.91926,                0.29496,                0.21775,                0.99546,                0.00307,                0.00307,                0.00307
                     17,                 0.3922,                 0.2066,                  1.211,                0.93963,                0.93786,                0.95029,                0.92132,                0.29325,                0.20991,                 0.9899,               0.002575,               0.002575,               0.002575
                     18,                0.38585,                0.19523,                 1.2048,                 0.9334,                0.92532,                0.94493,                0.91702,                0.29286,                0.21616,                0.99056,                0.00208,                0.00208,                0.00208
                     19,                 0.3781,                0.18633,                 1.1934,                0.92818,                0.93589,                0.94802,                0.92037,                0.29047,                0.21317,                0.98899,               0.001585,               0.001585,               0.001585
                     20,                0.37152,                0.17745,                 1.1875,                0.92883,                0.94412,                0.95011,                 0.9231,                0.28894,                0.21015,                0.98563,                0.00109,                0.00109,                0.00109
