                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79687,                 2.3085,                 1.3269,                0.88401,                0.83614,                0.93459,                0.80476,                 0.5957,                0.55541,                 1.2564,              0.0033279,              0.0033279,              0.0033279
                      2,                0.56144,                0.85922,                 1.1036,                0.89835,                 0.8499,                0.93946,                0.83151,                0.54174,                0.51297,                 1.2135,              0.0064964,              0.0064964,              0.0064964
                      3,                0.56848,                0.82236,                 1.1005,                0.87545,                0.84103,                0.92106,                0.80336,                0.54559,                0.51526,                  1.237,              0.0094998,              0.0094998,              0.0094998
                      4,                0.52303,                0.77603,                 1.0773,                 0.9266,                0.87075,                0.95214,                0.87708,                0.41412,                0.44789,                 1.0676,              0.0092575,              0.0092575,              0.0092575
                      5,                0.45817,                0.68167,                 1.0456,                0.96563,                0.93284,                0.98333,                0.92683,                0.35854,                 0.3279,                 1.0047,              0.0092575,              0.0092575,              0.0092575
                      6,                0.42625,                0.62803,                 1.0326,                0.96521,                0.95594,                0.98815,                0.93153,                0.35323,                0.26584,                0.99555,                0.00901,                0.00901,                0.00901
                      7,                0.40617,                0.58971,                  1.024,                0.97769,                0.97699,                 0.9925,                0.94306,                0.34437,                0.23738,                0.98698,              0.0087625,              0.0087625,              0.0087625
                      8,                0.39281,                0.56903,                 1.0187,                0.98516,                0.97503,                0.99352,                0.94753,                0.32954,                0.21409,                0.98491,               0.008515,               0.008515,               0.008515
                      9,                0.38273,                0.54756,                 1.0148,                0.98448,                0.97694,                0.99195,                0.95021,                0.32457,                0.21239,                0.97602,              0.0082675,              0.0082675,              0.0082675
                     10,                0.37311,                0.52804,                 1.0107,                0.99012,                0.98153,                0.99212,                 0.9571,                 0.3088,                0.19773,                0.96755,                0.00802,                0.00802,                0.00802
                     11,                0.36494,                0.51467,                 1.0064,                0.97963,                0.97207,                0.99061,                0.95625,                0.30375,                0.20718,                0.96694,              0.0077725,              0.0077725,              0.0077725
