                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85116,                 2.4826,                 1.2869,                0.77727,                0.73222,                0.82416,                0.72645,                0.54806,                0.73797,                 1.0687,              0.0033279,              0.0033279,              0.0033279
                      2,                0.58251,                0.89878,                 1.0565,                0.84107,                0.79823,                0.90089,                0.77449,                0.63026,                0.64105,                 1.1607,              0.0064964,              0.0064964,              0.0064964
                      3,                0.59108,                0.86187,                 1.0573,                0.85176,                 0.7025,                0.82023,                0.72547,                0.52362,                0.72955,                 1.0571,              0.0094998,              0.0094998,              0.0094998
                      4,                 0.5618,                0.81693,                 1.0437,                 0.7516,                0.53117,                 0.6458,                0.59228,                 0.4662,                 1.2235,                 1.0182,              0.0092575,              0.0092575,              0.0092575
                      5,                0.50138,                0.71949,                 1.0146,                0.94771,                0.93439,                0.97801,                0.91445,                0.37891,                0.30473,                0.93831,              0.0092575,              0.0092575,              0.0092575
                      6,                0.46056,                0.65568,                0.99813,                0.93062,                0.89288,                0.96133,                0.90259,                 0.3759,                0.37454,                0.93316,                0.00901,                0.00901,                0.00901
                      7,                0.43547,                 0.6205,                0.98987,                0.97237,                0.94368,                0.98431,                0.93021,                0.35316,                0.28568,                0.92628,              0.0087625,              0.0087625,              0.0087625
                      8,                0.41996,                0.59016,                0.98198,                0.97924,                0.96137,                0.98915,                0.94153,                0.34156,                 0.2408,                0.91054,               0.008515,               0.008515,               0.008515
                      9,                0.40685,                0.57071,                0.97705,                 0.9777,                 0.9651,                0.99067,                0.94314,                0.33252,                0.21766,                0.91109,              0.0082675,              0.0082675,              0.0082675
                     10,                0.39633,                0.54791,                0.97442,                  0.977,                0.96522,                0.98836,                0.94532,                0.32695,                0.22033,                0.89637,                0.00802,                0.00802,                0.00802
                     11,                0.38713,                0.53193,                0.97033,                0.98705,                0.97531,                 0.9918,                0.95523,                0.30678,                 0.1974,                0.88876,              0.0077725,              0.0077725,              0.0077725
                     12,                0.38165,                0.52108,                0.96855,                0.98122,                0.97352,                0.99087,                0.95436,                0.30724,                0.19621,                0.88493,               0.007525,               0.007525,               0.007525
                     13,                0.37534,                0.50664,                0.96453,                  0.983,                0.98289,                0.99184,                0.95627,                0.30285,                  0.183,                0.88669,              0.0072775,              0.0072775,              0.0072775
                     14,                0.36941,                0.49689,                0.96431,                 0.9842,                0.97585,                0.99239,                0.96076,                0.29369,                 0.1826,                0.87946,                0.00703,                0.00703,                0.00703
                     15,                0.36284,                 0.4878,                 0.9623,                 0.9834,                0.98461,                0.99331,                0.96168,                0.29339,                0.17524,                0.87914,              0.0067825,              0.0067825,              0.0067825
                     16,                0.35763,                0.47778,                0.95972,                0.98909,                0.98103,                0.99284,                0.96355,                0.28853,                0.17431,                 0.8776,               0.006535,               0.006535,               0.006535
                     17,                0.35355,                0.46505,                 0.9578,                0.98992,                0.97899,                0.99251,                0.96287,                0.28441,                0.16952,                 0.8738,              0.0062875,              0.0062875,              0.0062875
                     18,                0.35002,                 0.4588,                0.95728,                0.98644,                0.98231,                0.99246,                0.96301,                0.28545,                0.16966,                0.87434,                0.00604,                0.00604,                0.00604
                     19,                0.34634,                0.45268,                0.95679,                0.98702,                0.98094,                0.99148,                0.96169,                0.28366,                0.17221,                0.87544,              0.0057925,              0.0057925,              0.0057925
                     20,                0.34223,                0.44622,                0.95458,                0.98864,                0.98239,                0.99228,                0.96462,                0.28045,                0.16854,                0.87245,               0.005545,               0.005545,               0.005545
                     21,                0.34098,                0.44041,                 0.9541,                0.98843,                 0.9826,                0.99256,                0.96443,                0.27894,                0.16654,                0.87202,              0.0052975,              0.0052975,              0.0052975
                     22,                0.33622,                0.43217,                0.95304,                0.98694,                0.98475,                0.99248,                0.96421,                 0.2791,                0.16422,                0.87175,                0.00505,                0.00505,                0.00505
                     23,                0.33259,                 0.4217,                0.95294,                0.98915,                0.98383,                0.99246,                0.96459,                0.27821,                0.16255,                0.87129,              0.0048025,              0.0048025,              0.0048025
                     24,                0.32891,                0.41905,                 0.9497,                0.98936,                0.98542,                0.99278,                0.96492,                0.27681,                 0.1605,                0.87101,               0.004555,               0.004555,               0.004555
                     25,                0.32558,                0.41068,                0.95005,                 0.9904,                0.98406,                0.99252,                 0.9644,                0.27628,                0.16032,                0.87037,              0.0043075,              0.0043075,              0.0043075
                     26,                0.32072,                0.40295,                0.94751,                0.99154,                0.98261,                0.99268,                0.96467,                0.27601,                0.15944,                0.87006,                0.00406,                0.00406,                0.00406
